subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
jwEG5tTIkOKBQTzufi3gBP2Eu,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,8/24/2016,11:35,right,1,3245,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,8/24/2016,11:35,left,1,1456,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,8/24/2016,11:35,right,1,1788,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,4,17,we_took_some_sandwiches,he_dropped_the_cheeseburger,left,right,critical,0,8/24/2016,11:35,left,1,1664,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,5,7,the_ladybirds_are_very_red,the_elephant_is_very_big,left,right,critical,0,8/24/2016,11:35,left,1,2298,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,6,2,she_has_cereal_for_breakfast,she_grew_lots_of_tomatoes,right,left,critical,0,8/24/2016,11:35,right,1,5482,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,7,1,the_dolphins_are_swimming,the_horses_are_in_the_field,left,right,critical,1,8/24/2016,11:35,left,1,1661,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,8,23,the_fish_are_in_the_river,he_is_peeling_a_banana,left,right,critical,1,8/24/2016,11:35,left,1,573,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,9,18,the_birds_are_flying,the_dog_is_barking,right,left,critical,1,8/24/2016,11:35,right,1,172,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,10,10,the_chickens_lay_eggs,he_finished_all_the_chocolates,left,right,critical,1,8/24/2016,11:35,left,1,599,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,11,22,she_bought_a_cake,he_made_a_salad,right,left,critical,1,8/24/2016,11:35,right,1,564,2,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,12,12,the_pizza_was_too_hot,the_dolphins_are_swimming,left,right,critical,0,8/24/2016,11:35,left,1,981,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,13,15,he_dropped_the_cheeseburger,the_bee_is_on_the_flower,right,left,critical,0,8/24/2016,11:35,right,1,1237,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,14,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,right,left,critical,1,8/24/2016,11:35,right,1,1130,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,15,3,the_horses_are_in_the_field,the_fish_are_in_the_river,right,left,critical,0,8/24/2016,11:35,left,0,1035,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,16,8,she_likes_eating_carrots,the_chickens_lay_eggs,left,right,critical,1,8/24/2016,11:35,right,0,399,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,17,9,the_elephant_is_very_big,the_monkey_is_up_in_the_tree,right,left,critical,0,8/24/2016,11:35,right,1,1615,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,18,4,we_had_pasta_for_dinner,she_likes_eating_carrots,left,right,critical,1,8/24/2016,11:35,left,1,1372,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,19,21,he_is_peeling_a_banana,the_butterfly_is_pretty,left,right,critical,1,8/24/2016,11:35,left,1,1279,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,20,11,the_dog_is_barking,the_cheese_is_tasty,left,right,critical,0,8/24/2016,11:35,left,1,683,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,21,14,he_finished_all_the_chocolates,she_has_cereal_for_breakfast,left,right,critical,1,8/24/2016,11:35,left,1,1466,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,22,6,the_bee_is_on_the_flower,the_birds_are_flying,right,left,critical,0,8/24/2016,11:35,left,0,302,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,23,16,she_grew_lots_of_tomatoes,the_turtle_lives_in_the_sea,right,left,critical,0,8/24/2016,11:35,right,1,1918,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,24,19,he_made_a_salad,we_took_some_sandwiches,right,left,critical,0,8/24/2016,11:35,right,1,798,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,25,20,the_cheese_is_tasty,she_bought_a_cake,left,right,critical,0,8/24/2016,11:35,left,1,-9,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,26,13,the_butterfly_is_pretty,the_pizza_was_too_hot,right,left,critical,0,8/24/2016,11:35,right,1,1003,1,22/11/11,,,,,,,,female
jwEG5tTIkOKBQTzufi3gBP2Eu,27,24,the_monkey_is_up_in_the_tree,the_ladybirds_are_very_red,left,right,critical,1,8/24/2016,11:35,left,1,1907,1,22/11/11,,,,,,,,female
