subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
lmg5afzkgbRIbXKtTFKG3feM0,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,9/20/2016,10:18,right,1,3308.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,9/20/2016,10:18,right,0,4318.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,9/20/2016,10:18,right,1,2027.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,4,7,the_ladybirds_are_very_red,the_elephant_is_very_big,left,right,critical,0,9/20/2016,10:18,left,1,3134.999999999999,2,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,5,9,the_elephant_is_very_big,the_monkey_is_up_in_the_tree,left,right,critical,1,9/20/2016,10:18,right,0,2285.999999999999,2,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,6,8,she_likes_eating_carrots,the_chickens_lay_eggs,right,left,critical,0,9/20/2016,10:18,right,1,1066.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,7,4,we_had_pasta_for_dinner,she_likes_eating_carrots,right,left,critical,0,9/20/2016,10:18,left,0,2788.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,8,19,he_made_a_salad,we_took_some_sandwiches,left,right,critical,0,9/20/2016,10:18,left,1,5568.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,9,14,he_finished_all_the_chocolates,she_has_cereal_for_breakfast,right,left,critical,1,9/20/2016,10:18,left,0,2608.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,10,21,he_is_peeling_a_banana,the_butterfly_is_pretty,right,left,critical,0,9/20/2016,10:18,left,0,6110.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,11,10,the_chickens_lay_eggs,he_finished_all_the_chocolates,left,right,critical,1,9/20/2016,10:18,right,0,1178.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,12,11,the_dog_is_barking,the_cheese_is_tasty,right,left,critical,1,9/20/2016,10:18,left,0,632.9999999999991,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,13,12,the_pizza_was_too_hot,the_dolphins_are_swimming,left,right,critical,0,9/20/2016,10:18,right,0,15823,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,14,1,the_dolphins_are_swimming,the_horses_are_in_the_field,left,right,critical,1,9/20/2016,10:18,left,1,1734.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,15,15,he_dropped_the_cheeseburger,the_bee_is_on_the_flower,right,left,critical,0,9/20/2016,10:18,right,1,1816.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,16,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,left,right,critical,1,9/20/2016,10:18,left,1,1437.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,17,16,she_grew_lots_of_tomatoes,the_turtle_lives_in_the_sea,left,right,critical,0,9/20/2016,10:18,left,1,2486.999999999999,1,2011-12-24,,,,,,2,2,male
lmg5afzkgbRIbXKtTFKG3feM0,18,3,the_horses_are_in_the_field,the_fish_are_in_the_river,right,left,critical,0,9/20/2016,10:18,left,0,3540.999999999999,1,2011-12-24,,,,,,2,2,male
