subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
moSbCzY97AI0NjAPHsEFu4825,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,09/07/2016,10:42,right,1,11030,2,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,09/07/2016,10:42,left,1,9981,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,09/07/2016,10:42,right,1,10338,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,4,4,we_had_pasta_for_dinner,she_likes_eating_carrots,left,right,critical,0,09/07/2016,10:42,left,1,729,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,5,20,the_cheese_is_tasty,she_bought_a_cake,right,left,critical,0,09/07/2016,10:42,left,0,1808,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,6,12,the_pizza_was_too_hot,the_dolphins_are_swimming,right,left,critical,0,09/07/2016,10:42,left,0,2203,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,7,22,she_bought_a_cake,he_made_a_salad,left,right,critical,0,09/07/2016,10:42,left,1,1395,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,8,15,he_dropped_the_cheeseburger,the_bee_is_on_the_flower,right,left,critical,1,09/07/2016,10:42,left,0,83,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,9,10,the_chickens_lay_eggs,he_finished_all_the_chocolates,left,right,critical,1,09/07/2016,10:42,right,0,5048,2,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,10,14,he_finished_all_the_chocolates,she_has_cereal_for_breakfast,left,right,critical,0,09/07/2016,10:42,left,1,58,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,11,13,the_butterfly_is_pretty,the_pizza_was_too_hot,left,right,critical,1,09/07/2016,10:42,left,1,972,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,12,23,the_fish_are_in_the_river,he_is_peeling_a_banana,right,left,critical,1,09/07/2016,10:42,left,0,2603,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,13,3,the_horses_are_in_the_field,the_fish_are_in_the_river,left,right,critical,1,09/07/2016,10:42,left,1,9335,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,14,8,she_likes_eating_carrots,the_chickens_lay_eggs,left,right,critical,1,09/07/2016,10:42,left,1,655,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,15,6,the_bee_is_on_the_flower,the_birds_are_flying,right,left,critical,0,09/07/2016,10:42,left,0,14919,2,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,16,2,she_has_cereal_for_breakfast,she_grew_lots_of_tomatoes,left,right,critical,1,09/07/2016,10:42,left,1,245,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,17,17,we_took_some_sandwiches,he_dropped_the_cheeseburger,left,right,critical,0,09/07/2016,10:42,left,1,6583,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,18,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,right,left,critical,0,09/07/2016,10:42,left,0,4469,1,26/11/13,,,,,,1,1,female
moSbCzY97AI0NjAPHsEFu4825,19,21,he_is_peeling_a_banana,the_butterfly_is_pretty,left,right,critical,1,09/07/2016,10:42,left,1,29812,1,26/11/13,,,,,,1,1,female
