subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
uKrNQSPNLUAOufqNYUu5ZDURo,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,8/24/2016,12:00,right,1,5169,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,8/24/2016,12:00,left,1,4288,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,8/24/2016,12:00,right,1,4476,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,4,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,left,right,critical,0,8/24/2016,12:00,right,0,5728,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,5,8,she_likes_eating_carrots,the_chickens_lay_eggs,left,right,critical,1,8/24/2016,12:00,right,0,2395,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,6,15,he_dropped_the_cheeseburger,the_bee_is_on_the_flower,left,right,critical,0,8/24/2016,12:00,right,0,651,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,7,3,the_horses_are_in_the_field,the_fish_are_in_the_river,right,left,critical,0,8/24/2016,12:00,left,0,2246,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,8,7,the_ladybirds_are_very_red,the_elephant_is_very_big,left,right,critical,1,8/24/2016,12:00,right,0,2585,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,9,24,the_monkey_is_up_in_the_tree,the_ladybirds_are_very_red,left,right,critical,0,8/24/2016,12:00,left,1,2063,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,10,10,the_chickens_lay_eggs,he_finished_all_the_chocolates,left,right,critical,1,8/24/2016,12:00,right,0,2408,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,11,9,the_elephant_is_very_big,the_monkey_is_up_in_the_tree,left,right,critical,1,8/24/2016,12:00,right,0,3963,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,12,18,the_birds_are_flying,the_dog_is_barking,left,right,critical,0,8/24/2016,12:00,left,1,108,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,13,12,the_pizza_was_too_hot,the_dolphins_are_swimming,right,left,critical,0,8/24/2016,12:00,right,1,1452,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,14,21,he_is_peeling_a_banana,the_butterfly_is_pretty,right,left,critical,0,8/24/2016,12:00,right,1,690,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,15,16,she_grew_lots_of_tomatoes,the_turtle_lives_in_the_sea,left,right,critical,0,8/24/2016,12:00,left,1,1893,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,16,11,the_dog_is_barking,the_cheese_is_tasty,right,left,critical,0,8/24/2016,12:00,right,1,134,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,17,22,she_bought_a_cake,he_made_a_salad,right,left,critical,1,8/24/2016,12:00,right,1,1940,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,18,1,the_dolphins_are_swimming,the_horses_are_in_the_field,right,left,critical,1,8/24/2016,12:00,right,1,1619,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,19,13,the_butterfly_is_pretty,the_pizza_was_too_hot,right,left,critical,1,8/24/2016,12:00,right,1,2334,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,20,2,she_has_cereal_for_breakfast,she_grew_lots_of_tomatoes,left,right,critical,1,8/24/2016,12:00,right,0,2105,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,21,19,he_made_a_salad,we_took_some_sandwiches,right,left,critical,0,8/24/2016,12:00,right,1,118,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,22,14,he_finished_all_the_chocolates,she_has_cereal_for_breakfast,right,left,critical,0,8/24/2016,12:00,left,0,2311,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,23,23,the_fish_are_in_the_river,he_is_peeling_a_banana,right,left,critical,1,8/24/2016,12:00,left,0,518,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,24,4,we_had_pasta_for_dinner,she_likes_eating_carrots,right,left,critical,1,8/24/2016,12:00,right,1,2556,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,25,6,the_bee_is_on_the_flower,the_birds_are_flying,left,right,critical,0,8/24/2016,12:00,right,0,1866,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,26,20,the_cheese_is_tasty,she_bought_a_cake,left,right,critical,0,8/24/2016,12:00,left,1,41,1,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,27,17,we_took_some_sandwiches,he_dropped_the_cheeseburger,left,right,critical,1,8/24/2016,12:00,left,1,247,1,19/02/12,,,,,,,,female
