subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
vYygUI9RvRkz4L4mOQgdamN14,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,9/23/2016,16:44,right,1,3052.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,9/23/2016,16:44,left,1,4317.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,9/23/2016,16:44,right,1,2211.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,4,4,we_had_pasta_for_dinner,she_likes_eating_carrots,left,right,critical,0,9/23/2016,16:44,left,1,2136.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,5,10,the_chickens_lay_eggs,he_finished_all_the_chocolates,right,left,critical,0,9/23/2016,16:44,right,1,4453.999999999999,2,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,6,12,the_pizza_was_too_hot,the_dolphins_are_swimming,right,left,critical,1,9/23/2016,16:44,right,1,2311.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,7,13,the_butterfly_is_pretty,the_pizza_was_too_hot,right,left,critical,1,9/23/2016,16:44,right,1,1910.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,8,15,he_dropped_the_cheeseburger,the_bee_is_on_the_flower,left,right,critical,0,9/23/2016,16:44,left,1,270.9999999999991,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,9,9,the_elephant_is_very_big,the_monkey_is_up_in_the_tree,right,left,critical,0,9/23/2016,16:44,right,1,2633.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,10,20,the_cheese_is_tasty,she_bought_a_cake,left,right,critical,1,9/23/2016,16:44,left,1,1395.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,11,8,she_likes_eating_carrots,the_chickens_lay_eggs,left,right,critical,0,9/23/2016,16:44,left,1,4403.999999999999,2,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,12,21,he_is_peeling_a_banana,the_butterfly_is_pretty,left,right,critical,1,9/23/2016,16:44,left,1,406.9999999999991,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,13,17,we_took_some_sandwiches,he_dropped_the_cheeseburger,right,left,critical,0,9/23/2016,16:44,right,1,1092.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,14,6,the_bee_is_on_the_flower,the_birds_are_flying,left,right,critical,0,9/23/2016,16:44,left,1,775.9999999999991,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,15,19,he_made_a_salad,we_took_some_sandwiches,left,right,critical,0,9/23/2016,16:44,left,1,131.9999999999991,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,16,1,the_dolphins_are_swimming,the_horses_are_in_the_field,left,right,critical,0,9/23/2016,16:44,left,1,2030.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,17,18,the_birds_are_flying,the_dog_is_barking,right,left,critical,1,9/23/2016,16:44,right,1,3070.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,18,14,he_finished_all_the_chocolates,she_has_cereal_for_breakfast,right,left,critical,1,9/23/2016,16:44,right,1,1791.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,19,11,the_dog_is_barking,the_cheese_is_tasty,left,right,critical,0,9/23/2016,16:44,left,1,3887.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,20,23,the_fish_are_in_the_river,he_is_peeling_a_banana,left,right,critical,1,9/23/2016,16:44,right,0,2584.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,21,3,the_horses_are_in_the_field,the_fish_are_in_the_river,right,left,critical,0,9/23/2016,16:44,left,0,313.9999999999991,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,22,22,she_bought_a_cake,he_made_a_salad,right,left,critical,1,9/23/2016,16:44,right,1,2210.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,23,24,the_monkey_is_up_in_the_tree,the_ladybirds_are_very_red,right,left,critical,1,9/23/2016,16:44,right,1,1138.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,24,2,she_has_cereal_for_breakfast,she_grew_lots_of_tomatoes,left,right,critical,1,9/23/2016,16:44,right,0,2321.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,25,7,the_ladybirds_are_very_red,the_elephant_is_very_big,left,right,critical,0,9/23/2016,16:44,left,1,1102.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,26,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,left,right,critical,0,9/23/2016,16:44,left,1,2008.999999999999,1,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,27,16,she_grew_lots_of_tomatoes,the_turtle_lives_in_the_sea,right,left,critical,1,9/23/2016,16:44,right,1,398.9999999999991,1,2010-05-12,,,,,,1,0,female
