subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
zhIHDhxLvS3kSiWtlmnepyUpd,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,8/26/2016,03:24,right,1,3227,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,8/26/2016,03:24,left,1,1587,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,8/26/2016,03:24,right,1,1188,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,4,18,the_birds_are_flying,the_dog_is_barking,left,right,critical,0,8/26/2016,03:24,left,1,6028,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,5,12,the_pizza_was_too_hot,the_dolphins_are_swimming,left,right,critical,0,8/26/2016,03:24,left,1,1485,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,6,17,we_took_some_sandwiches,he_dropped_the_cheeseburger,right,left,critical,0,8/26/2016,03:24,right,1,536,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,7,7,the_ladybirds_are_very_red,the_elephant_is_very_big,right,left,critical,1,8/26/2016,03:24,right,1,2466,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,8,13,the_butterfly_is_pretty,the_pizza_was_too_hot,right,left,critical,1,8/26/2016,03:24,right,1,518,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,9,11,the_dog_is_barking,the_cheese_is_tasty,left,right,critical,0,8/26/2016,03:24,left,1,1574,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,10,15,he_dropped_the_cheeseburger,the_bee_is_on_the_flower,right,left,critical,1,8/26/2016,03:24,right,1,800,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,11,6,the_bee_is_on_the_flower,the_birds_are_flying,right,left,critical,1,8/26/2016,03:24,right,1,86,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,12,16,she_grew_lots_of_tomatoes,the_turtle_lives_in_the_sea,right,left,critical,1,8/26/2016,03:24,right,1,1651,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,13,1,the_dolphins_are_swimming,the_horses_are_in_the_field,right,left,critical,0,8/26/2016,03:24,right,1,1244,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,14,9,the_elephant_is_very_big,the_monkey_is_up_in_the_tree,right,left,critical,0,8/26/2016,03:24,right,1,1509,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,15,21,he_is_peeling_a_banana,the_butterfly_is_pretty,left,right,critical,0,8/26/2016,03:24,left,1,968,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,16,2,she_has_cereal_for_breakfast,she_grew_lots_of_tomatoes,right,left,critical,1,8/26/2016,03:24,right,1,1660,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,17,8,she_likes_eating_carrots,the_chickens_lay_eggs,left,right,critical,0,8/26/2016,03:24,left,1,548,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,18,19,he_made_a_salad,we_took_some_sandwiches,left,right,critical,1,8/26/2016,03:24,left,1,736,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,19,20,the_cheese_is_tasty,she_bought_a_cake,right,left,critical,0,8/26/2016,03:24,right,1,16,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,20,14,he_finished_all_the_chocolates,she_has_cereal_for_breakfast,right,left,critical,1,8/26/2016,03:24,right,1,1254,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,21,23,the_fish_are_in_the_river,he_is_peeling_a_banana,left,right,critical,0,8/26/2016,03:24,left,1,639,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,22,3,the_horses_are_in_the_field,the_fish_are_in_the_river,left,right,critical,1,8/26/2016,03:24,left,1,971,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,23,22,she_bought_a_cake,he_made_a_salad,right,left,critical,1,8/26/2016,03:24,right,1,215,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,24,10,the_chickens_lay_eggs,he_finished_all_the_chocolates,left,right,critical,1,8/26/2016,03:24,left,1,760,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,25,4,we_had_pasta_for_dinner,she_likes_eating_carrots,left,right,critical,0,8/26/2016,03:24,left,1,1372,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,26,24,the_monkey_is_up_in_the_tree,the_ladybirds_are_very_red,left,right,critical,0,8/26/2016,03:24,left,1,2135,1,07/04/11,,,,,,2,1,female
zhIHDhxLvS3kSiWtlmnepyUpd,27,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,left,right,critical,0,8/26/2016,03:24,left,1,1700,1,07/04/11,,,,,,2,1,female
